cytoband	9p21.3	17p11.2	1p36.11	8p23.1	19p13.3	3p14.2	10p12.31	9p13.2	7q31.33	13q12.11	
			PLA2G2F	DEFB104A		XYLB			TAS2R38		
			CEP85	LOC157273		OXSR1			PTN		
			PINK1	SGK223		PDCD6IP			PTPN12		
			PHACTR4	PEBP4		PARP3			PTPRN2		
			C1orf135	CDCA2		ZNF197			PTPRZ1		
			MUL1	ESCO2		RBM6			RARRES2		
			LIN28A	FBXO16		RBM5			RFC2		
			FAM110D	LOC157627		NME6			RHEB		
			DHDDS	C8orf42		CTDSPL			CCL24		
			ZNF436	ERICH1		EIF1B			SHH		
			TAS1R2	TDH		TRAIP			SLC4A2		
			ACTL8	C8orf48		ARIH2			SLC13A1		
			SH3BGRL3	ZNF596		CRTAP			SMARCD3		
			SESN2	DEFT1P		ARL6IP5			SMO		
			TMEM222	R3HCC1		NPRL2			SPAM1		
			USP48	PRSS55		CXCR6			SRI		
			NBPF3	C8orf74		CSPG5			AKR1D1		
			ZDHHC18	LGI3		ARPP21			SRPK2		
			TRIM63	DEFB105A		CCR9			SSBP1		
			CROCCP2	DEFB106A		USP19			STX1A		
			SYTL1	DEFB107A		SLC38A3			SYPL1		
			IGSF21	DEFB109P1		CYB561D2			TAC1		
			SNHG12	DEFB130		TMEM115			TAF6		
			C1orf201	NEIL2		RPP14			TBXAS1		
			UBXN11	LOC254896		FAM107A			TFR2		
			ATPIF1	FLJ10661		WDR6			TRIP6		
			CROCCP3	XKR6		RASSF1			UBE2H		
			RAB42	LOC286059		NISCH			VGF		
			FAM46B	LOC286083		TREX1			VIPR2		
			C1orf172	EFHA2		SCN11A			ZAN		
			IFFO2	LOC286114		TUSC2			EIF4H		
			MYOM3	SCARA5		TWF2			CLIP2		
			KLHDC7A	LOC340357		TRAK1			LAT2		
			VWA5B1	LOC349196		DHX30			WNT2		
			UBXN10	USP17L2		SACM1L			XRCC2		
			C1orf213	XKR5		SCAP			YWHAG		
			PDIK1L	FAM90A25P		LAMB2P1			ZNF3		
			IL28RA	LOC389641		EXOSC7			ZKSCAN1		
			FAM43B	C8orf80		PDZRN3			ZSCAN21		
			PAQR7	LOC392196		CLASP2			ZNF138		
			FAM76A	MIR124-1		RAD54L2			ZP3		
			AKR7L	MIR320A		FRMD4B			ZYX		
			TMCO4	DEFB103A		STAB1			MTERF		
			ZNF683	OR4F21		GPD1L			SHFM1		
			MDS2	FAM90A13		NBEAL2			TFPI2		
			LOC284632	FAM90A5		FAM208A			ST7		
			ESPNP	FAM90A7		KLHL18			ARHGEF5		
			LOC339505	FAM90A8		LARS2			ZNF212		
			PADI6	FAM90A18		RYBP			TRRAP		
			CATSPER4	FAM90A9		NAT6			FZD1		
			TRNP1	FAM90A10		FBXL2			FZD9		
			CD164L2	DEFA10P		ABHD14A			ZNF282		
			PLA2G2C	MIR383		POC1A			CUL1		
			TMEM200B	DEFB107B		CNOT10			TPST1		
			SH2D5	DEFB104B		TMEM158			FKBP6		
			C1orf130	DEFB106B		NDUFAF3			TRIM24		
			LDLRAD2	DEFB105B		MYRIP			BUD31		
			MINOS1	C8orf58		PTPN23			SGCE		
			LOC644961	DEFB135		DNAH1			MGAM		
			LOC646471	DEFB136		HIGD1A			WASL		
			LOC653566	DEFB134		LRIG1			PLOD3		
			SCARNA1	DEFB109P1B		SUSD5			BAZ1B		
			SNORA44	RPL23AP53		ERC2			CLDN12		
			SNORA61	FAM90A14		APPL1			DGKI		
			SNORA16A	FAM86B2		GNL3			AP4M1		
			SNORD99	SPAG11A		FOXP1			BCL7B		
			SNORD103A	MIR596		RBMS3			ATP6V1F		
			SNORD103B	MIR597		SPCS1			ACCN3		
			LOC729059	MIR598		SETD2			PMPCB		
			LOC100129196	DEFA1B		PRSS50			ATP5J2		
			MIR1976	FAM90A20		RBM15B			GTF2IRD1		
			MIR3115	FAM90A19		GMPPB			PDIA4		
			MIR4253	ZNF705D		ARHGEF3			UBE3C		
			MIR3917	FAM66B		VILL			FAM131B		
			MIR3675	LOC100128993		ABHD5			SEMA3E		
			LOC100506730	ZNF705G		DYNC1LI1			DOCK4		
			LOC100506801	FAM66E		C3orf18			FAM115A		
			LOC100506963	LOC100132396		SS18L2			MAGI2		
			C1orf151-NBL1	FAM66D		SHISA5			POM121		
			MIR4695	FAM66A		ZDHHC3			DMTF1		
			MIR4420	LOC100133267		ZMYND10			DNAJB6		
			MIR4684	LOC100287015		TEX264			ABCF2		
			MIR378F	DEFT1P2		CCDC72			MUC12		
			RCAN3AS	DEFB4B		ZNF589			ARPC1B		
				MIR1322		HEMK1			NAMPT		
				MIR548I3		IP6K2			AKAP9		
				MIR4287		SFMBT1			RASA4		
				MIR4288		NCKIPSD			AASS		
				MIR3926-2		PHF7			SLC25A13		
				MIR3622A		TLR9			LRRC17		
				MIR3926-1		LZTFL1			POP7		
				MIR3622B		P4HTM			BET1		
				LOC100506990		SLC6A20			CCL26		
				LOC100507156		IL17RD			SEMA3A		
				MIR4659A		C3orf75			FAM3C		
				MIR4660		SNRK			COG5		
				MIR4659B		QRICH1			ZNHIT1		
				LOC100652791		PXK			SEMA3C		
						CMTM6			ARPC1A		
						SLC25A38			SH2B2		
						ULK4			STAG3		
						FEZF2			ZNF273		
						EBLN2			FGL2		
						ANO10			CPSF4		
						DALRD3			FASTK		
						SHQ1			DBF4		
						PBRM1			COPS6		
						CHDH			DUS4L		
						IL17RB			ZNF277		
						CACNA2D3			ABCB8		
						DCP1A			TP53TG1		
						GLT8D1			PDAP1		
						ZNF167			TFEC		
						LMOD3			LAMB4		
						SEMA3G			LMTK2		
						KIF15			POMZP3		
						ADAMTS9			PAXIP1		
						PCBP4			KLHDC10		
						ABHD6			PEG10		
						LRTM1			SSPO		
						C3orf14			NUP205		
						KIAA1143			AHCYL2		
						HHATL			TNPO3		
						WDR48			HYAL4		
						SELK			TSPAN12		
						PROK2			CLEC5A		
						RNF123			MKRN1		
						KIF9			ZKSCAN5		
						CSRNP1			CLDN15		
						GORASP1			BRI3		
						CDCP1			TECPR1		
						CCDC71			POT1		
						NT5DC2			PTCD1		
						SLC26A6			CNTNAP2		
						CAMKV			AUTS2		
						LRRC2			HYALP1		
						FYCO1			TES		
						CCDC51			GIMAP2		
						THOC7			OR2F1		
						WDR82			FBXO24		
						RTP3			SLC13A4		
						ID2B			TBL2		
						ATRIP			STEAP1		
						NICN1			COPG2		
						MON1A			HBP1		
						KBTBD8			DNAJC2		
						ABHD14B			TPK1		
						C3orf39			SND1		
						DCLK3			SND1-IT1		
						UCN2			DENND2A		
						ZNF502			ZNF777		
						RFT1			CRCP		
						ZBTB47			RABGEF1		
						ACTR8			PCLO		
						CMTM7			TMEM176B		
						OSBPL10			HIPK2		
						SLC25A26			WDR91		
						ZNF501			REPIN1		
						GPR62			HILPDA		
						FAM3D			MDFIC		
						LYZL4			PILRB		
						KBTBD5			PILRA		
						TRIM71			FSCN3		
						TMEM42			ATP6V0A4		
						IQCF1			PNPLA8		
						GLYCTK			TAS2R3		
						PPM1M			TAS2R4		
						C3orf49			TAS2R16		
						SNTN			FIS1		
						SYNPR			MLXIPL		
						C3orf45			SBDS		
						ASB14			CPA4		
						FAM19A4			ZNF117		
						CCDC12			WNT16		
						PPP4R2			ACTL6B		
						CMTM8			PRKAG2		
						CCDC13			ZNF107		
						XIRP1			ZC3HC1		
						PRICKLE2			SRRT		
						TTC21A			LUC7L2		
						C3orf67			MRPS33		
						KCTD6			STYXL1		
						KLHDC8B			ASB4		
						STT3B			NUB1		
						LOC201617			NAA38		
						DNAH12			ADAM22		
						PDE12			PION		
						FAM116A			GPR85		
						CADM2			TAS2R5		
						ZNF620			STAG3L1		
						ALS2CL			ANKIB1		
						TMIE			CHPF2		
						C3orf64			PUS7		
						FBXW12			ING3		
						ENTPD3-AS1			LRRN3		
						ZNF619			CROT		
						ZNF621			ALKBH4		
						CCDC66			SAMD9		
						C3orf23			NCAPG2		
						ZNF660			CHCHD3		
						FLJ39534			ZCWPW1		
						LOC285401			C7orf42		
						EIF4E3			WDR60		
						CCDC36			RBM28		
						C3orf35			TYW1		
						GADL1			C7orf43		
						PRSS42			TMEM140		
						ZNF860			GIMAP4		
						ZNF445			GIMAP5		
						SPATA12			TMEM176A		
						C3orf77			TRPV6		
						C3orf62			PPP1R9A		
						TMEM110			CCDC132		
						PRSS45			NSUN5		
						AMIGO3			AGK		
						ZNF662			METTL2B		
						CDHR4			MLL5		
						FAM212A			BAIAP2L1		
						IQCF2			SLC25A40		
						IQCF5			BCAP29		
						MUSTN1			MEPCE		
						IQCF3			TRPV5		
						LOC401074			ANKRD7		
						MIRLET7G			ZC3HAV1		
						MIR128-2			SLC12A9		
						MIR135A1			ACN9		
						MIR138-1			AKR1B10		
						MIR191			SMURF1		
						MIR26A1			PHTF2		
						FAM19A1			ACTR3B		
						FLJ33065			KIAA1147		
						TMEM89			RHBDD2		
						IQCF6			FAM40B		
						C3orf78			ESYT2		
						LOC440970			ZNF398		
						MIR425			CCDC146		
						SNORA6			KIAA1549		
						TMPPE			GATAD1		
						LOC644714			MLL3		
						SPINK8			EXOC4		
						C3orf71			RINT1		
						LOC646498			GALNT11		
						FLJ20518			LRRC4		
						SNORD19			LMBR1		
						FAM86DP			WBSCR17		
						SNORD69			TMEM168		
						MIR548A2			LINC00244		
						MIR564			NOM1		
						GXYLT2			MOSPD3		
						FAM198A			GIGYF1		
						CCR2			CCDC136		
						ESRG			PARP12		
						SNORD19B			CREB3L2		
						C3orf74			RABL5		
						LOC100128640			CYP3A43		
						NRADDP			CASD1		
						ZNF717			STAG3L4		
						LOC100132146			LRRC61		
						BSN-AS2			C7orf49		
						PRSS46			ZNF655		
						LOC100287879			PVRIG		
						FRG2C			C7orf23		
						MIR1284			GCC1		
						MIR1324			STEAP4		
						MIR1226			GAL3ST4		
						MIR711			PRKRIP1		
						MIR3136			C7orf63		
						MIR4272			CBLL1		
						MIR4271			ZNF767		
						MIR4273			C7orf58		
						MIR3938			TTC26		
						KRBOX1			ORAI2		
						IQCF4			UPK3B		
						LOC100506994			JHDM1D		
						LOC100507062			OR2AE1		
						ADAMTS9-AS2			WBSCR16		
						ABHD14A-ACY1			TSC22D4		
						TMEM110-MUSTN1			TRIM56		
						MIR4793			ABHD11		
						MIR4787			TMUB1		
						MIR4444-1			CALN1		
						MIR4443			ARMC10		
						LOC100652759			TMEM120A		
						LUST			IMMP2L		
									CTTNBP2		
									RBM48		
									ZNF394		
									GTF2IRD2		
									MYH16		
									SLC37A3		
									DNAJC30		
									KRBA1		
									FAM71F1		
									MGC16142		
									SLC35B4		
									TMEM209		
									TMEM60		
									GTPBP10		
									TRIM4		
									OR6W1P		
									ADCK2		
									PLXNA4		
									ZC3HAV1L		
									MYL10		
									LOC93432		
									ST7-AS1		
									ST7-AS2		
									ST7-OT3		
									CADPS2		
									CPA5		
									FOXP2		
									CEP41		
									C7orf29		
									DTX2		
									WBSCR22		
									TSGA13		
									AGAP3		
									C7orf13		
									OR9A4		
									WBSCR28		
									TRIM50		
									OR9A2		
									C7orf34		
									TMEM139		
									NOBOX		
									OR2A14		
									OR6B1		
									OR2F2		
									ZNF786		
									EMID2		
									PRSS37		
									KLF14		
									C7orf45		
									SVOPL		
									MTPN		
									LRGUK		
									ASB10		
									PRSS58		
									SRCRB4D		
									ASZ1		
									MUC17		
									RNF32		
									ASB15		
									RUNDC3B		
									C7orf60		
									TRY6		
									LOC154761		
									CLEC2L		
									C7orf55		
									VKORC1L1		
									LOC154822		
									LOC154860		
									IQUB		
									LOC154872		
									KCTD7		
									C7orf66		
									TMEM213		
									GIMAP8		
									CRYGN		
									ZNF425		
									LOC155060		
									ZNF746		
									ATP6V0E2		
									WBSCR27		
									SBDSP1		
									VPS37D		
									NSUN5P1		
									RBM33		
									MGC27345		
									ZNF92		
									GALNTL5		
									ZNF679		
									RNF133		
									THAP5		
									CCDC71L		
									GIMAP7		
									ZNF467		
									BHLHA15		
									ZNF800		
									GIMAP1		
									ABHD11-AS1		
									LOC202781		
									C7orf33		
									SAMD9L		
									C7orf62		
									ZNF804B		
									FABP5P3		
									ZNF498		
									FAM200A		
									PPP1R35		
									GPC2		
									SRRM3		
									RSBN1L		
									KIAA1324L		
									LRWD1		
									FAM185A		
									FBXL13		
									NAPEPLD		
									ATXN7L1		
									CDHR3		
									TMEM130		
									NYAP1		
									SEMA3D		
									CNPY4		
									POLR2J2		
									HEPACAM2		
									UBN2		
									MBLAC1		
									FAM133B		
									TAS2R39		
									TAS2R40		
									TAS2R41		
									NSUN5P2		
									STEAP2		
									CNPY1		
									LOC285889		
									INTS4L1		
									LINC00174		
									FLJ40852		
									LOC285965		
									FAM115C		
									ZNF775		
									LOC285972		
									ATG9B		
									DLX6-AS1		
									ZNF789		
									LOC286002		
									C7orf53		
									TPI1P2		
									FLJ40288		
									MESTIT1		
									ST7-OT4		
									TAS2R60		
									ZNF680		
									CTAGE6P		
									TSPAN33		
									AGBL3		
									OR6V1		
									OR2A12		
									OR2A1		
									GNAT3		
									MOGAT3		
									FAM71F2		
									STRA8		
									KLRG2		
									WDR86		
									GJC3		
									DPY19L2P2		
									LOC349160		
									GATS		
									GSTK1		
									TRIM73		
									NAT16		
									SLC26A5		
									LHFPL3		
									KCP		
									TRIM74		
									FLJ43663		
									RNF148		
									SPDYE8P		
									GATSL1		
									GTF2IRD2B		
									MGC72080		
									C7orf59		
									FEZF1		
									FAM180A		
									OR2A25		
									OR2A5		
									RPL13AP17		
									GTF2IRD2P1		
									LRRD1		
									FLJ42280		
									LOC401397		
									PRRT4		
									RAB19		
									OR2A7		
									OR2A20P		
									LOC401431		
									OR2A42		
									FLJ45340		
									KPNA7		
									C7orf61		
									UFSP1		
									MIR106B		
									MIR129-1		
									MIR153-2		
									MIR182		
									MIR183		
									MIR25		
									MIR29A		
									MIR29B1		
									MIR93		
									MIR96		
									LOC407835		
									ZNF716		
									LOC441242		
									TYW1B		
									SPDYE7P		
									DTX2P1-UPK3BP1-PMS2P11		
									SPDYE3		
									SPDYE2		
									AKR1B15		
									CTAGE15P		
									OR2A9P		
									ZNF727		
									OR2A2		
									DPY19L2P4		
									STAG3L3		
									STAG3L2		
									SPDYE5		
									EIF3IP1		
									LMOD2		
									MIR335		
									ARHGEF35		
									GIMAP6		
									LOC493754		
									WEE2		
									LOC541473		
									POLR2J3		
									MIR489		
									MIR490		
									FDPSL2A		
									LOC641746		
									CCT6P3		
									CCT6P1		
									ZNF862		
									LOC643955		
									INTS4L2		
									LOC645249		
									LOC645591		
									AZGP1P1		
									LOC646329		
									C7orf73		
									LOC649395		
									NCF1		
									ACTR3C		
									NCF1B		
									NCF1C		
									SNORA14A		
									SNORA22		
									MIR590		
									MIR591		
									MIR592		
									MIR593		
									MIR595		
									LOC723809		
									MIR653		
									LOC728066		
									LOC728377		
									LOC728743		
									ZNF736		
									LOC729156		
									GATSL2		
									SPDYE6		
									TMEM229A		
									ZNF735		
									LOC730441		
									LUZP6		
									MIR671		
									LOC100093631		
									POM121C		
									LOC100124692		
									LOC100128264		
									CTAGE4		
									LOC100128822		
									LOC100129148		
									RPL19P12		
									LOC100129845		
									LOC100130705		
									EFCAB10		
									LOC100130880		
									LOC100131176		
									LOC100132707		
									LOC100132832		
									LOC100133091		
									LOC100134229		
									LOC100134713		
									UPK3BL		
									LOC100216545		
									LOC100216546		
									LOC100287482		
									LOC100287704		
									LOC100287834		
									MOXD2P		
									LOC100289187		
									LOC100289561		
									ZNF783		
									MIR548F3		
									MIR548I4		
									SPDYE2L		
									MIR548M		
									MIR548F4		
									SAP25		
									MIR4283-2		
									MIR548T		
									MIR4285		
									MIR4283-1		
									MIR4284		
									MTRNR2L6		
									MIR3609		
									MIR3907		
									MIR3914-1		
									MIR3666		
									MIR3914-2		
									LOC100505483		
									LOC100505854		
									MAGI2-AS3		
									LOC100506050		
									LOC100506136		
									LOC100506585		
									LOC100507421		
									ATP5J2-PTCD1		
									GIMAP1-GIMAP5		
									MIR4653		
									MIR4652		
									MIR4468		
									MIR4651		
									MIR4650-1		
									MIR4650-2		
									MIR4467		
									MIR4658		
									LOC100630923		
									CYP3A7-CYP3AP1		
